CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
8,Albania, , , , , , , , , , , , , , , , , , , ,54.5, , , 
51,Armenia, , , , , , , , , , ,43.5, , , , ,86.4, , , , , , , 
31,Azerbaijan, , , , , , , , , , , , , , , , ,31.1, , , , , , 
204,Benin, , , , , , , , , , , ,34.5, , , , ,44.8, , , , , , 
68,Bolivia, , , , , , , , , , , , , ,36.9, , , , ,48.5, , , , 
70,Bosnia and Herzegovina, , , , , , , , , , , , , , , , , , , , , , ,71
72,Botswana, , , , , , ,85, , , , ,88.4, , , , , , , , , , , 
76,Brazil, , , , , , ,59.3, , , , , , , , , , , , , , , , 
100,Bulgaria, , , , , , , , , , , , , , , ,70.3, , , , , , , 
854,Burkina Faso, , , , , , , , , ,55.5, , , ,66.9, , , , , , ,74.7, , 
108,Burundi, , , , , , , , , , , , , , , , , , , , ,45.4, , 
116,Cambodia, , , , , , , , , , , , , , , ,84.4, , , , ,89.8, , 
120,Cameroon, , , , , , , , ,31.4, , , , , ,57.4, , , , , , ,71.8, 
132,Cape Verde, , , , , , , , , , , , , , , ,78.7, , , , , , , 
140,Central African Republic, , , , , , , , , , , , , , , , ,59.9, , , ,65.2, , 
148,Chad, , , , , , , , , , , , , , ,25.4, , , , , , , , 
178,Congo, , , , , , , , , , , , , , , ,37.5, , , , , , , 
384,Cote d'Ivoire, , , , , , , , , ,55.7, , , , , ,52.5, , , , , , , 
180,Democratic Republic of the Congo, , , , , , , , , , , , , , , , , ,26.6, , , , , 
262,Djibouti, , , , , , , , , , , , , , , ,51, , , , , , , 
214,Dominican Republic, , , , , , ,47.9, , , , , ,52.2, , , , ,70, , , , , 
232,Eritrea, , , , , ,81.4, , , , , , , , , , , , , , , , , 
231,Ethiopia, , , , , , , , , , ,30.5, , , , ,50.2, , , , , ,62.4, 
266,Gabon, , , , , , , , , , ,48, , , , , , , , , , , , 
288,Ghana, , , , , , , , , , , , , ,51.7, , ,55.7, ,46.4, , , , 
324,Guinea, , , , , , , , , ,32.1, , , , , ,37.2, , , , , , , 
328,Guyana, , , , , , , , , , , , , , , ,67.6, , , ,78.2, , , 
332,Haiti, , , , , , , , , , ,29.9, , , , , ,43.3, , , , , , 
356,India, , , , , , , , , , , ,59, , , , ,36.5, , , , , , 
388,Jamaica, , , , , , , , , , , , , , , , , , ,83.5, , , , 
398,Kazakhstan, , , , , , , , , ,64.9, , , , , , , , , , , ,76.2, 
404,Kenya, , , , , , , , ,42.9, , , , ,46.8, , , , , ,64.3, , , 
426,Lesotho, , , , , , , , , , , , , , ,47.6, , , , ,67.6, , , 
430,Liberia, , , , , , , , , , , , , , , , , ,22, , , , , 
450,Madagascar, , , , , , , , , , , , , , ,12.2, , , , , , , , 
454,Malawi, , , , , , , , , , ,37.7, , , ,46.8, ,57.5, , , ,52.9, , 
466,Mali, , , , , , ,30.9, , , , ,30.3, , , , ,35.9, , , , , , 
584,Marshall Islands, , , , , , , , , , , , , , , , , ,21.7, , , , , 
496,Mongolia, , , , , , , , , , , , , , , , , , , , ,75.4, , 
508,Mozambique, , , , , , , , , , , , , ,33.2, , , , , , , , , 
516,Namibia, , , , , , , , , , ,69.4, , , , , , ,81.1, , , , , 
520,Nauru, , , , , , , , , , , , , , , , , ,16.7, , , , , 
524,Nepal, , , , , , , , , , , ,51.5, , , , ,78.4, , , , ,65.3, 
562,Niger, , , , , , , , ,30, , , , , , , ,37.2, , , , , , 
566,Nigeria, , , , , , , , , , , , , ,46.3, , , , ,49.4, , , , 
598,Papua New Guinea, , , , , , , , , , , , , , , , ,49.7, , , , , , 
608,Philippines, , , , , , , , , , , , , ,24.6, , , , , , , , , 
498,Republic of Moldova, , , , , , , , , , , , , , , ,62.8, , ,75.6, , , , 
646,Rwanda, , , , , , , , , , ,55.1, , , , ,39.5, , , , ,61.8, , 
678,Sao Tome and Principe, , , , , , , , , , , , , , , , , , , ,63.6, , , 
686,Senegal, , , , , , , , , , , , , , , ,52.4, , , , , , , 
688,Serbia, , , , , , , , , , , , , , , , , , , , ,80, , 
694,Sierra Leone, , , , , , , , , , , , , , , , , , ,22.4, , , , 
90,Solomon Islands, , , , , , , , , , , , , , , , , ,25.6, , , , , 
710,South Africa, , , , , , , , , , , , , ,71.5, , , , , , , , , 
748,Swaziland, , , , , , , , , , , , , , , , , ,70.4, , ,90.6, , 
768,Togo, , , , , , , , ,41, , , , , , , , , , , ,67.5, , 
798,Tuvalu, , , , , , , , , , , , , , , , , ,44.1, , , , , 
800,Uganda, , , , , ,41.6, , , , , ,62, , , ,55.1,54.5, , , , ,37.5, 
804,Ukraine, , , , , , , , , , , , , , , , , ,71, , , , , 
834,Tanzania, , , , , , ,31.4, , ,30.7, , , , ,47.1,45.5, , ,49, ,51, , 
860,Uzbekistan, , , , , , , , , , , , ,50, , , ,86.4, , , , , , 
704,Viet Nam, , , , , , , , , , , , , , , ,67.6, , , , , , , 
894,Zambia, , , , , , ,38.8, , , ,41, ,41.9,40.3, ,38, ,47.6, ,38.6, , , 
716,Zimbabwe, , , , ,60.7, , , , ,68.8, , , , , , ,68, , , , ,73.6, 
