CountryCode,Country,2009,2010,2011
12,Algeria,,,
24,Angola,29.2,34.5,38.3
32,Argentina,80.5,77.2,78.6
51,Armenia,11.8,16.4,21.7
31,Azerbaijan,11,18.7,28.2
50,Bangladesh,21.6,24.4,31
112,Belarus,,,
84,Belize,45,51.2,61.9
204,Benin,53.4,58,60.5
64,Bhutan,19.5,27.3,23.7
68,Bolivia,12.7,15,15.3
72,Botswana,90.3,92.5,95
76,Brazil,84.1,90.7,95
100,Bulgaria,25.9,23.5,25.4
854,Burkina Faso,43.7,50,56.6
108,Burundi,35.3,44.6,53.5
116,Cambodia,91.1,95,95
120,Cameroon,32.7,35.8,40.8
140,Central African Republic,23.1,23.5,22.3
148,Chad,39.2,35.7,34.2
152,Chile,59.3,63.7,66.4
156,China,,,
170,Colombia,25.2,45.1,45.8
174,Comoros,15,18.7,19
178,Congo,24.2,41,44.3
188,Costa Rica,,,
384,Cote d'Ivoire,36.8,37.4,41.1
191,Croatia,,,
192,Cuba,95,95,95
180,Democratic Republic of the Congo,,,
262,Djibouti,18.6,20.2,27.1
214,Dominican Republic,60.4,70.3,80.1
218,Ecuador,36,56.5,68.1
818,Egypt,10,14.7,21.2
222,El Salvador,,68.2,72.1
226,Equatorial Guinea,,,
232,Eritrea,42.9,43,48.5
231,Ethiopia,36.4,46.7,56.5
242,Fiji,92.9,82.9,87.1
266,Gabon,48.5,52.1,53.2
270,Gambia,21.3,37.9,54.3
268,Georgia,62.8,66.3,75.6
288,Ghana,27.9,35.6,47.4
320,Guatemala,55.1,56,56.4
324,Guinea,43.2,53.8,57.9
624,Guinea-Bissau,40.5,46.5,56.4
328,Guyana,72.5,74.7,82.1
332,Haiti,48.3,50.4,58.3
340,Honduras,32.4,36.6,41
348,Hungary,,,
356,India,,,
360,Indonesia,24.1,23.8,24.3
364,Iran,4.4,5.1,7.4
388,Jamaica,49.8,53.8,59.6
398,Kazakhstan,18.4,21.6,27
404,Kenya,50.8,60.7,72.3
408,North Korea,,,
417,Kyrgyzstan,19.3,33.3,23.1
418,Lao People's Democratic Republic,48.2,51.3,53
428,Latvia,16.6,17.7,18.4
422,Lebanon,34.7,36.9,35.6
426,Lesotho,50.1,55.7,57.5
430,Liberia,18.6,27.5,38
440,Lithuania,28.8,26.8,25.5
450,Madagascar,1.9,2,3
454,Malawi,47.2,54.4,67.3
458,Malaysia,29.4,38.4,36.6
462,Maldives,21.9,14.4,21.7
466,Mali,42.8,46.7,53.5
478,Mauritania,21.2,22.1,20.9
480,Mauritius,18.6,18,37.4
484,Mexico,80.3,79.4,83.6
496,Mongolia,14.7,28,27
504,Morocco,30.5,32.7,37.2
508,Mozambique,34.4,40.9,45.6
104,Myanmar,17.2,24,32.1
516,Namibia,77.6,90.3,95
524,Nepal,13.7,18.4,24.5
558,Nicaragua,57.4,57.9,65.2
562,Niger,26.7,29.6,33.8
566,Nigeria,24.6,26.5,30.4
512,Oman,,,
586,Pakistan,8.5,9.4,9.8
591,Panama,42.3,46.4,49
598,Papua New Guinea,58.2,58.6,68.3
600,Paraguay,66.3,80.9,69.4
604,Peru,46.2,43.7,60.5
608,Philippines,29.4,40.2,50.9
616,Poland,,,
498,Republic of Moldova,19,22.9,29.2
642,Romania,73.6,72.4,74.2
643,Russian Federation,,,
646,Rwanda,76.9,83.5,81.7
686,Senegal,68.1,60.1,56.5
688,Serbia,60.1,63.9,64.9
694,Sierra Leone,22.5,30.5,41.5
703,Slovakia,,,
706,Somalia,4,5.8,7.4
710,South Africa,42.3,56.8,66.3
728,South Sudan,,,6
144,Sri Lanka,16.8,18.8,21.1
729,Sudan, , ,9
736,Sudan (former),7.6,7.8, 
740,Suriname,37.7,44,53.1
748,Swaziland,64,73.1,82.7
762,Tajikistan,10.7,15.2,21.6
764,Thailand,72,67.2,71.1
768,Togo,26.3,36.3,42.2
788,Tunisia,69.8,63.4,67.3
792,Turkey,67.3,56.5,49.6
800,Uganda,41,45.3,53.9
804,Ukraine,13.3,18.7,22
834,Tanzania,32.1,38.3,39.7
858,Uruguay,39.4,48.8,41.2
860,Uzbekistan,7,9,12.5
862,Venezuela,74.2,79.8,79
704,Viet Nam,44.5,51.7,57.7
887,Yemen,4,7,8
894,Zambia,80.8,71.6,82
716,Zimbabwe,37.3,53.5,76.9
