CountryCode,Country,1998,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
24,Angola, , , , , , , , ,29.3, , , ,28.3, 
31,Azerbaijan, ,0.8, , , , , , , , , , , , 
204,Benin, , , ,60.4, , , ,54, , , , , ,38.4
854,Burkina Faso, , , , ,49.6, , ,48, , , ,35.1, , 
108,Burundi, ,31.3, , , , ,30, , , , ,17.2, , 
116,Cambodia, , , , , , ,0.2, , , , ,0.3, , 
120,Cameroon, ,66.1, , , ,66.3, ,57.8, , , , ,21.3, 
140,Central African Republic, ,68.8, , , , , ,57, , , ,31.8, , 
148,Chad, ,31.9, , , ,53, , , , , ,35.7, , 
174,Comoros, ,62.7, , , , , , , , , , , , 
178,Congo, , , , , , ,48, , , , , , ,25
384,Cote d'Ivoire, ,57.5, , , , , ,36, , , , , ,17.5
180,Democratic Republic of the Congo, , ,52, , , , , ,29.8, , ,39.1, , 
262,Djibouti, , , , , , , ,9.5, , ,0.9, , , 
226,Equatorial Guinea, ,48.6, , , , , , , , , , , , 
232,Eritrea, , , ,3.6, , , , , ,13.1, , , , 
231,Ethiopia, ,3, , , , ,3, ,9.5, , , , , 
270,Gambia, ,55.2, , , , , ,62.6, , , ,30.2, , 
288,Ghana,60.7, , , ,62.8, , ,60.8, ,43, , ,52.4, 
324,Guinea, , , , , , ,43.5, ,73.9, , , , , 
624,Guinea-Bissau, ,58.4, , , , , ,45.7, , , ,51.2, , 
328,Guyana, , , , , , , , , , ,6.4, , , 
332,Haiti, ,11.7, , , , , ,5.1, , , , , , 
340,Honduras, , , , , , , ,0.5, , , , , , 
356,India, ,12, , , , , ,8.2, , , , , , 
360,Indonesia, ,4.4, , ,0.7, , , ,0.8, , , , , 
368,Iraq, ,1.3, , , , , , , , , , , , 
404,Kenya,40.4,64.5, , ,26.5, , , , , ,23.2, , , 
418,Lao People's Democratic Republic, ,8.7, , , , , ,8.2, , , , , , 
430,Liberia, , , , , , , , ,58.8, ,67.2, ,57.1, 
450,Madagascar, ,60.7, , , ,34.2, , , , ,19.7, , , 
454,Malawi, ,27, , , ,28.4, ,24.9, , , ,30.9, , 
466,Mali, , , , , , , ,31.7, , , ,34.8, , 
478,Mauritania, , , , , ,33.4, , ,20.7, , , , , 
508,Mozambique, , , , ,14.9, , , ,23,36.7, , ,29.9, 
516,Namibia, ,14.4, , , , , , ,9.8, ,20.3, , , 
524,Nepal, , , , , , , ,0.1, , , , ,0.6, 
558,Nicaragua, , ,1.8, , , , , , , , , , , 
562,Niger, ,48.1, , , , , ,33, , , , , , 
566,Nigeria, , , , ,33.9, , , , ,33.2, ,49.1, , 
586,Pakistan, , , , , , , , ,3.3, , , , , 
608,Philippines, , , , ,0.2, , , , ,0, , , , 
646,Rwanda, ,12.6, , , , ,12.3, , ,5.6, ,10.8, , 
678,Sao Tome and Principe, ,61.2, , , , , ,24.7, , ,8.4, , , 
686,Senegal, ,36.2, , , , ,26.8,22, , ,9.1, ,8.2, 
694,Sierra Leone, ,60.7, , , , ,51.9, , ,30.1, ,62.1, , 
90,Solomon Islands, , , , , , , , ,19, , , , , 
706,Somalia, , , , , , , ,7.9, , , , , , 
728,South Sudan, , , , , , , ,46.1, , ,35.8,51.2, , 
144,Sri Lanka, , , , , , , , ,0.3, , , , , 
729,Sudan, , , , , , , ,66.1, , , ,65, , 
748,Swaziland, ,25.5, , , , , , ,0.6, , ,1.7, , 
762,Tajikistan, , , , , , ,1.9, , , , , , , 
626,Timor-Leste, , , ,47.4, , , , , , , ,6, , 
768,Togo, ,60, , , , , ,47.7, , , ,33.8, , 
800,Uganda, , , , , , , ,61.3, , ,59.6, ,64.5, 
834,United Republic of Tanzania, , , , , , ,58.2, , ,56.7, ,59.1, , 
548,Vanuatu, , , , , , , , ,53.1, , , , , 
704,Viet Nam, ,6.5, , , , , ,2.6, , , , ,1.2, 
894,Zambia, , , ,51.9, , , ,57.9,38.4,43.3, ,34, , 
716,Zimbabwe, , , , , , , ,4.7, , ,23.6, ,2.3, 
